2012-05-16 16:25:55.879 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.880 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.880 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.880 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.880 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.880 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.880 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.881 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.881 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.881 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.881 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.881 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.881 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.882 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.882 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.882 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.882 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.882 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.882 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.883 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.883 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
